Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Blocks,OwnG,Clear,Inter,Fouls,Offsides,Tackles,Drb,Fouled,UnsTch,Off,Disp,KeyP,AvgP,LongB,Crosses,ThrB,xG/Shots,Shots,xG,xGDiff,xG/90
300,Max Aarons,Bournemouth,24,D(R),13(7),1233,-,1,1,-,0.1,76.7,0.3,-,6.25,0.3,-,1.1,0.4,0.6,0.2,1.5,0.7,1.3,0.7,0.1,0.4,0.4,22.6,1,0.2,0.1,0.02,2.0,0.04,-0.04,-
301,Sofyan Amrabat,Man Utd,28,"D(L),DMC",10(11),933,-,-,6,-,0.1,88.1,0.2,-,6.24,0.3,-,0.9,0.4,1.1,-,1.3,0.7,0.5,0.4,-,0.5,0.3,30.7,1.7,-,-,0.03,3.0,0.08,-0.08,0.01
302,Saman Ghoddos,Brentford,31,"M(CLR),FW",7(12),730,1,-,5,-,0.5,76.4,0.2,-,6.24,0.1,-,0.5,0.3,0.7,0.1,1.5,0.7,0.5,0.5,0.1,0.2,0.5,19.4,0.7,0.6,-,0.03,9.0,0.27,0.73,0.03
303,Hugo Bueno,Wolves,22,"D(L),M(L)",7(15),731,-,-,1,-,0.2,80.6,0.4,-,6.24,0.2,1,0.9,0.3,0.3,-,1,0.3,0.3,0.3,-,0.6,0.3,15.0,0.2,0.5,-,0.07,5.0,0.35,-0.35,0.04
304,Nicolò Zaniolo,Aston Villa,25,"AM(CLR),FW",9(16),831,2,-,7,-,1.1,71.6,0.3,-,6.24,-,-,0.4,-,1,-,0.8,0.3,0.8,1.2,-,1.4,0.4,8.3,0.1,-,-,0.14,27.0,3.7,-1.7,0.4
305,Divock Origi,Nottingham Forest,29,"AM(LR),FW",6(14),601,-,1,1,-,0.7,67.9,0.6,-,6.21,-,-,0.1,0.1,0.7,-,0.3,-,0.4,0.8,0.3,0.5,0.4,6.6,0.3,0.2,0.2,0.13,14.0,1.8,-1.8,0.27
306,Oliver Skipp,Tottenham,24,DMC,5(16),695,-,-,3,-,0.2,91.7,0.2,-,6.2,-,-,0.3,0.1,0.4,-,0.9,0.3,0.6,0.4,-,0.3,0.3,17.8,0.7,-,-,0.17,4.0,0.7,-0.7,0.09
307,Boubacar Traoré,Wolves,23,DMC,7(17),806,-,-,4,-,0.5,84.9,0.3,-,6.2,0.1,-,0.3,0.2,1,-,1.5,0.5,0.2,0.5,-,0.7,0.3,18.5,0.6,0.1,-,0.03,11.0,0.33,-0.33,0.04
308,Danny Ings,West Ham,32,"AM(C),FW",3(17),392,1,-,1,-,0.6,72.4,0.2,-,6.19,0.1,-,0.3,0.2,0.2,-,0.3,0.5,0.3,0.5,0.1,0.2,0.3,5.3,0.1,-,-,0.1,12.0,1.22,-0.22,0.28
309,Andre Brooks,Sheff Utd,21,AM(CR),12(8),944,-,-,1,-,0.5,77.0,0.6,-,6.18,0.1,-,0.7,0.7,0.6,-,1.1,0.6,0.5,1.1,-,1,0.2,12.4,0.2,-,-,0.09,9.0,0.79,-0.79,0.08
310,Adam Lallana,Brighton,36,M(CLR),13(12),854,-,1,2,-,0.4,90.0,0.1,-,6.17,-,-,-,0.1,0.3,-,0.3,0.2,0.4,0.6,0.1,0.7,0.6,20.0,0.1,0.1,0.1,0.08,11.0,0.83,-0.83,0.09
311,Ben Osborn,Sheff Utd,30,"D(L),M(CLR)",14(10),1363,-,2,3,-,0.2,77.7,0.3,-,6.17,0.1,1,1.1,0.3,0.3,0.1,0.9,0.4,0.4,0.6,-,0.4,0.5,21.1,1,0.4,-,0.05,4.0,0.19,-0.19,0.01
312,Naouirou Ahamada,Crystal Palace,22,M(C),0(20),334,-,-,2,1,0.5,82.7,0.2,-,6.08,-,-,0.2,0.1,0.5,-,0.7,0.5,0.3,0.4,0.1,0.6,0.1,9.0,0.4,-,-,0.07,9.0,0.59,-0.59,0.16
313,Pelly Ruddock Mpanzu,Luton,30,M(C),11(16),1094,-,-,1,-,0.4,74.9,0.4,-,6.08,0.3,-,0.6,0.3,0.3,-,0.5,0.1,0.5,0.4,-,0.6,0.2,12.7,0.6,0.1,-,0.08,11.0,0.88,-0.88,0.07
314,William Osula,Sheff Utd,21,FW,9(12),785,-,-,4,-,1,53.3,1.1,-,6.0,-,-,0.4,0.1,0.7,-,0.1,-,0.6,1.5,0.3,0.7,-,4.3,-,-,-,0.1,21.0,2.01,-2.01,0.23
